# Time (hours),k1,k2,k3
0.000000,1.886367,0.121670,0.001761
0.001001,1.886367,0.121670,0.001761
0.002002,1.886367,0.121670,0.001761
0.003003,1.886367,0.121670,0.001761
0.004004,1.886367,0.121670,0.001761
0.005005,1.886367,0.121670,0.001761
0.006006,1.886367,0.121670,0.001761
0.007007,1.886367,0.121670,0.001761
0.008008,1.886367,0.121670,0.001761
0.009009,1.886367,0.121670,0.001761
0.010010,1.886367,0.121670,0.001761
0.011011,1.886367,0.121670,0.001761
0.012012,1.886367,0.121670,0.001761
0.013013,1.886367,0.121670,0.001761
0.014014,1.886367,0.121670,0.001761
0.015015,1.886367,0.121670,0.001761
0.016016,1.886367,0.121670,0.001761
0.017017,1.886367,0.121670,0.001761
0.018018,1.886367,0.121670,0.001761
0.019019,1.886367,0.121670,0.001761
0.020020,1.886367,0.121670,0.001761
0.021021,1.886367,0.121670,0.001761
0.022022,1.886367,0.121670,0.001761
0.023023,1.886367,0.121670,0.001761
0.024024,1.886367,0.121670,0.001761
0.025025,1.886367,0.121670,0.001761
0.026026,1.886367,0.121670,0.001761
0.027027,1.886367,0.121670,0.001761
0.028028,1.886367,0.121670,0.001761
0.029029,1.886367,0.121670,0.001761
0.030030,1.886367,0.121670,0.001761
0.031031,1.886367,0.121670,0.001761
0.032032,1.886367,0.121670,0.001761
0.033033,1.886367,0.121670,0.001761
0.034034,1.886367,0.121670,0.001761
0.035035,1.886367,0.121670,0.001761
0.036036,1.886367,0.121670,0.001761
0.037037,1.886367,0.121670,0.001761
0.038038,1.886367,0.121670,0.001761
0.039039,1.886367,0.121670,0.001761
0.040040,1.886367,0.121670,0.001761
0.041041,1.886367,0.121670,0.001761
0.042042,1.886367,0.121670,0.001761
0.043043,1.886367,0.121670,0.001761
0.044044,1.886367,0.121670,0.001761
0.045045,1.886367,0.121670,0.001761
0.046046,1.886367,0.121670,0.001761
0.047047,1.886367,0.121670,0.001761
0.048048,1.886367,0.121670,0.001761
0.049049,1.886367,0.121670,0.001761
0.050050,1.886367,0.121670,0.001761
0.051051,1.886367,0.121670,0.001761
0.052052,1.886367,0.121670,0.001761
0.053053,1.886367,0.121670,0.001761
0.054054,1.886367,0.121670,0.001761
0.055055,1.886367,0.121670,0.001761
0.056056,1.886367,0.121670,0.001761
0.057057,1.886367,0.121670,0.001761
0.058058,1.886367,0.121670,0.001761
0.059059,1.886367,0.121670,0.001761
0.060060,1.886367,0.121670,0.001761
0.061061,1.886367,0.121670,0.001761
0.062062,1.886367,0.121670,0.001761
0.063063,1.886367,0.121670,0.001761
0.064064,1.886367,0.121670,0.001761
0.065065,1.886367,0.121670,0.001761
0.066066,1.886367,0.121670,0.001761
0.067067,1.886367,0.121670,0.001761
0.068068,1.886367,0.121670,0.001761
0.069069,1.886367,0.121670,0.001761
0.070070,1.886367,0.121670,0.001761
0.071071,1.886367,0.121670,0.001761
0.072072,1.886367,0.121670,0.001761
0.073073,1.886367,0.121670,0.001761
0.074074,1.886367,0.121670,0.001761
0.075075,1.886367,0.121670,0.001761
0.076076,1.886367,0.121670,0.001761
0.077077,1.886367,0.121670,0.001761
0.078078,1.886367,0.121670,0.001761
0.079079,1.886367,0.121670,0.001761
0.080080,1.886367,0.121670,0.001761
0.081081,1.886367,0.121670,0.001761
0.082082,1.886367,0.121670,0.001761
0.083083,1.886367,0.121670,0.001761
0.084084,1.886367,0.121670,0.001761
0.085085,1.886367,0.121670,0.001761
0.086086,1.886367,0.121670,0.001761
0.087087,1.886367,0.121670,0.001761
0.088088,1.886367,0.121670,0.001761
0.089089,1.886367,0.121670,0.001761
0.090090,1.886367,0.121670,0.001761
0.091091,1.886367,0.121670,0.001761
0.092092,1.886367,0.121670,0.001761
0.093093,1.886367,0.121670,0.001761
0.094094,1.886367,0.121670,0.001761
0.095095,1.886367,0.121670,0.001761
0.096096,1.886367,0.121670,0.001761
0.097097,1.886367,0.121670,0.001761
0.098098,1.886367,0.121670,0.001761
0.099099,1.886367,0.121670,0.001761
0.100100,1.886367,0.121670,0.001761
0.101101,1.886367,0.121670,0.001761
0.102102,1.886367,0.121670,0.001761
0.103103,1.886367,0.121670,0.001761
0.104104,1.886367,0.121670,0.001761
0.105105,1.886367,0.121670,0.001761
0.106106,1.886367,0.121670,0.001761
0.107107,1.886367,0.121670,0.001761
0.108108,1.886367,0.121670,0.001761
0.109109,1.886367,0.121670,0.001761
0.110110,1.886367,0.121670,0.001761
0.111111,1.886367,0.121670,0.001761
0.112112,1.886367,0.121670,0.001761
0.113113,1.886367,0.121670,0.001761
0.114114,1.886367,0.121670,0.001761
0.115115,1.886367,0.121670,0.001761
0.116116,1.886367,0.121670,0.001761
0.117117,1.886367,0.121670,0.001761
0.118118,1.886367,0.121670,0.001761
0.119119,1.886367,0.121670,0.001761
0.120120,1.886367,0.121670,0.001761
0.121121,1.886367,0.121670,0.001761
0.122122,1.886367,0.121670,0.001761
0.123123,1.886367,0.121670,0.001761
0.124124,1.886367,0.121670,0.001761
0.125125,1.886367,0.121670,0.001761
0.126126,1.886367,0.121670,0.001761
0.127127,1.886367,0.121670,0.001761
0.128128,1.886367,0.121670,0.001761
0.129129,1.886367,0.121670,0.001761
0.130130,1.886367,0.121670,0.001761
0.131131,1.886367,0.121670,0.001761
0.132132,1.886367,0.121670,0.001761
0.133133,1.886367,0.121670,0.001761
0.134134,1.886367,0.121670,0.001761
0.135135,1.886367,0.121670,0.001761
0.136136,1.886367,0.121670,0.001761
0.137137,1.886367,0.121670,0.001761
0.138138,1.886367,0.121670,0.001761
0.139139,1.886367,0.121670,0.001761
0.140140,1.886367,0.121670,0.001761
0.141141,1.886367,0.121670,0.001761
0.142142,1.886367,0.121670,0.001761
0.143143,1.886367,0.121670,0.001761
0.144144,1.886367,0.121670,0.001761
0.145145,1.886367,0.121670,0.001761
0.146146,1.886367,0.121670,0.001761
0.147147,1.886367,0.121670,0.001761
0.148148,1.886367,0.121670,0.001761
0.149149,1.886367,0.121670,0.001761
0.150150,1.886367,0.121670,0.001761
0.151151,1.886367,0.121670,0.001761
0.152152,1.886367,0.121670,0.001761
0.153153,1.886367,0.121670,0.001761
0.154154,1.886367,0.121670,0.001761
