datetime,PLL:.19RA_10GH101XG04R.DInput.St.PV,PLL:.19RA_10GH101XG08.DInput.St.PV,PLL:.19RA_10GH101XG13.DInput.St.PV,PLL:.19RA_CP205A.SDDevCtl.St.Running,PLL:.19RA_CP205AWG40E.DInput.St.PV,PLL:.19RA_CP205B.SDDevCtl.St.Running,PLL:.19RA_CP205BWG40E.DInput.St.PV,PLL:.19RA_CP205C.SDDevCtl.St.Running,PLL:.19RA_CP205CWG40E.DInput.St.PV,PLL:.19RA_CS001VWJ1.AInput1.St.PV,PLL:.19RA_CS002VWJ1.AInput1.St.PV,PLL:.19RA_CS003VWJ1.AInput1.St.PV,PLL:.19RA_CS004VWJ1.AInput1.St.PV,PLL:.19RA_CS005VWJ1.AInput1.St.PV,PLL:.19RA_CS006VWJ1.AInput1.St.PV,PLL:.19RA_CS007VWJ1.AInput1.St.PV,PLL:.19RA_CS008VWJ1.AInput1.St.PV,PLL:.19RA_CS009VWJ1.AInput1.St.PV,PLL:.19RA_CS010VWJ1.AInput1.St.PV,PLL:.19RA_CS011VWJ1.AInput1.St.PV,PLL:.19RA_CS012VWJ1.AInput1.St.PV,PLL:.19RA_CS013VWJ1.AInput1.St.PV,PLL:.19RA_CS014VWJ1.AInput1.St.PV,PLL:.19RA_CS015VWJ1.AInput1.St.PV,PLL:.19RA_CS016VWJ1.AInput1.St.PV,PLL:.19RA_FT205A.AInput1.St.PV,PLL:.19RA_FT205B.AInput1.St.PV,PLL:.19RA_FT205C.AInput1.St.PV,PLL:.19RA_FT208.AInput1.St.PV,PLL:.19RA_PIT214.AInput1.St.PV,PLL:.19RA_PIT264.AInput1.St.PV,PLL:.19RA_PIT300A.AInput1.St.PV,PLL:.19RA_PIT300B.AInput1.St.PV,PLL:.19RA_PIT300C.AInput1.St.PV,PLL:.19RA_PIT300D.AInput1.St.PV,PLL:.19RA_PIT300E.AInput1.St.PV,PLL:.19RA_PIT300F.AInput1.St.PV,PLL:.19RA_PIT300G.AInput1.St.PV,PLL:.19RA_PIT300H.AInput1.St.PV,PLL:.19RA_PIT300I.AInput1.St.PV,PLL:.19RA_PIT300J.AInput1.St.PV,PLL:.19RA_PIT300K.AInput1.St.PV,PLL:.19RA_PIT300L.AInput1.St.PV,PLL:.19RA_PIT300M.AInput1.St.PV,PLL:.19RA_PIT300N.AInput1.St.PV,PLL:.19RA_PIT300O.AInput1.St.PV,PLL:.19RA_PIT300P.AInput1.St.PV,PLL:.19RA_PIT307.AInput1.St.PV,PLL:.19RA_RE001IWJ01.AInput1.St.PV,PLL:.19RA_RE001IWJ02.AInput1.St.PV,PLL:.19RA_RE002IWJ01.AInput1.St.PV,PLL:.19RA_RE002IWJ02.AInput1.St.PV,PLL:.19RA_RE003IWJ01.AInput1.St.PV,PLL:.19RA_RE003IWJ02.AInput1.St.PV,PLL:.19RA_RE004IWJ01.AInput1.St.PV,PLL:.19RA_RE004IWJ02.AInput1.St.PV,PLL:.19RA_RE005IWJ01.AInput1.St.PV,PLL:.19RA_RE005IWJ02.AInput1.St.PV,PLL:.19RA_RE006IWJ01.AInput1.St.PV,PLL:.19RA_RE006IWJ02.AInput1.St.PV,PLL:.19RA_RE007IWJ01.AInput1.St.PV,PLL:.19RA_RE007IWJ02.AInput1.St.PV,PLL:.19RA_RE008IWJ01.AInput1.St.PV,PLL:.19RA_RE008IWJ02.AInput1.St.PV,PLL:.19RA_TIT140.AInput1.St.PV,PLL:.19RA_TIT200A.AInput1.St.PV,PLL:.19RA_TIT200B.AInput1.St.PV,PLL:.19RA_TIT200C.AInput1.St.PV,PLL:.19RA_TIT200D.AInput1.St.PV,PLL:.19RA_TIT200E.AInput1.St.PV,PLL:.19RA_TIT200F.AInput1.St.PV,PLL:.19RA_TIT200G.AInput1.St.PV,PLL:.19RA_TIT200H.AInput1.St.PV,PLL:.19RA_TIT200I.AInput1.St.PV,PLL:.19RA_TIT200J.AInput1.St.PV,PLL:.19RA_TIT200K.AInput1.St.PV,PLL:.19RA_TIT200L.AInput1.St.PV,PLL:.19RA_TIT200M.AInput1.St.PV,PLL:.19RA_TIT200N.AInput1.St.PV,PLL:.19RA_TIT200O.AInput1.St.PV,PLL:.19RA_TIT200P.AInput1.St.PV,PLL:.ConsumoEliz.PV,PLL:.ConsumoEZ.PV
2024-08-15 00:00:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06951161,-0.5684867,49.613636,51.7151566,48.2008247,-0.5040603,46.978405,46.5754433,-0.5584037,-1.36543941,47.6243439,49.02938,49.0564537,-0.003149694,48.4172935,48.3087845,23.5177727,-0.295150042,-0.3385023,-0.123138994,-0.0454135649,0.374341816,-0.00487150252,-0.0483643934,0.3195476,0.334015161,0.313760549,0.454078376,0.317692578,0.31810084,0.7282751,-0.024248844,0.313760549,0.293505937,0.2978462,-0.01018582,0.303633243,0.313760549,0.128761575,0.0,0.0,0.0,0.0,0.0,164.874649,0.0,174.629028,0.0,172.677872,0.0,0.0,0.0,161.946472,0.0,174.629028,30.405571,31.7249813,31.574892,53.92194,53.361824,54.52413,30.2356358,53.6396027,51.2918434,30.5815258,32.1152344,53.79667,54.5027237,53.4383163,34.34985,53.76981,54.69989,0.01658702,2000.0
2024-08-15 00:01:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.07174901,-0.54897213,49.55672,51.6880836,48.17917,-0.50004214,47.0162,46.4979935,-0.5667499,-1.36142111,47.5364761,48.9679146,49.01314,-0.00455881655,48.3631439,48.2546349,127.674431,125.696465,128.022675,12.77213,-0.2349264,1.641288,-0.00507826,-0.0481601469,0.3368733,0.351757973,0.332533032,0.4529747,0.335426569,0.335426569,0.728046834,-0.0236630328,0.332115918,0.310831636,0.3151719,-0.01074872,0.321376026,0.332533032,0.1461227,0.0,0.0,0.0,0.0,0.0,165.5777,0.0,175.373932,0.0,173.414444,0.0,0.0,0.0,162.637283,0.0,175.373932,30.4174824,31.7406731,31.5778,53.8654556,53.30487,54.5060959,30.2418041,53.599926,51.23736,30.572525,32.140213,53.7147026,54.44538,53.33521,34.3576927,53.67414,54.67475,0.0148878973,2000.0
2024-08-15 00:02:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0739864,-0.5760406,49.1962471,51.3047,47.6367645,-0.496023953,46.6899376,46.00916,-0.5750961,-1.35740292,47.0729256,48.5920258,48.5665054,-0.00596793927,47.853775,47.7707863,186.673019,178.212891,182.7112,55.7962723,0.961954236,1.82299173,-0.005285017,-0.0487217121,0.354198724,0.369092345,0.349858463,0.4541404,0.35275197,0.35275197,0.727818549,-0.0242855269,0.3484117,0.328157067,0.332497358,-0.0110634957,0.3382844,0.3488377,0.16203703,0.0,0.0,0.0,0.0,0.0,166.280746,0.0,176.118835,0.0,174.151031,0.0,0.0,0.0,163.328079,0.0,176.118835,30.3710938,31.744276,31.5708427,53.6589,53.4991341,53.552002,30.24357,53.3490257,51.88784,30.560154,32.12753,53.86317,53.717865,53.45925,34.3297348,53.623188,53.51182,0.0140540209,2000.0
2024-08-15 00:03:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0762238055,-0.558002532,48.4176521,50.55162,46.70145,-0.492005765,46.2899857,45.0638924,-0.5834423,-1.35338461,46.2475128,47.9112854,47.80278,-0.00737706153,47.00075,46.97089,291.6972,275.88205,282.012146,65.154335,1.5526067,3.78929114,-0.005491774,-0.04879165,0.371273071,0.386138856,0.3658842,0.4540809,0.3698263,0.370224476,0.728817165,-0.0237423573,0.3658842,0.3456296,0.349571675,-0.009921947,0.354708284,0.3658842,0.18373844,0.0,0.0,0.0,0.0,0.0,166.9838,0.0,176.863739,0.0,174.887619,0.0,0.0,0.0,164.01889,0.0,176.863739,30.4469719,31.7322083,31.56019,56.0596581,56.052227,56.3713379,30.2217922,56.0002,54.7813644,30.5604668,32.1279564,56.0510025,56.2456436,56.5202332,34.3305855,56.49305,55.68114,0.0131561151,2000.0
2024-08-15 00:04:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.07846121,-0.5527074,47.8040924,50.0104,46.03181,-0.487987578,46.03746,44.41438,-0.5917885,-1.34936631,45.73229,47.3858871,47.2513847,-0.008786184,46.3833275,46.4556656,304.4122,288.0898,292.683868,61.8167534,-0.688340068,4.1606307,-0.0056985314,-0.0486698858,0.387550622,0.4020182,0.3821705,0.453457236,0.385064,0.385064,0.7287597,-0.02319919,0.381763577,0.361915857,0.365849257,-0.009560234,0.371636271,0.380723745,0.196759254,0.0,0.0,0.0,0.0,0.0,167.686844,0.0,177.608658,0.0,175.624191,0.0,0.0,0.0,164.7097,0.0,177.608658,30.566864,31.7365627,31.5542717,57.4137344,57.3085747,57.5602226,30.2240677,57.25116,55.802227,30.56722,32.14211,57.3870621,57.3105659,57.33308,34.3419952,57.3853455,57.2359657,0.0167519841,2000.0
2024-08-15 00:05:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0806986,-0.575241,47.180172,49.45882,45.41829,-0.4839694,45.67645,43.81646,-0.6001347,-1.345348,45.227047,46.8184853,46.6842079,-0.0101953065,45.80575,45.91426,309.1132,292.869934,297.202332,57.0403252,0.0565160364,4.305477,-0.00437717,-0.0489320159,0.403428853,0.417896479,0.398057759,0.45325157,0.4009513,0.4019821,0.729657233,-0.0241819918,0.397641838,0.377387226,0.3817275,-0.009198522,0.3889613,0.398057759,0.214120373,0.0,0.0,0.0,0.0,0.0,168.389877,0.0,178.353561,0.0,176.360779,0.0,0.0,0.0,165.400513,0.0,178.353561,30.5285454,31.74689,31.54722,56.73224,56.8657036,56.8144836,30.23564,56.82147,55.0906754,30.5761719,32.0801125,56.8021164,56.7156754,56.807724,34.32664,56.7689133,56.87688,0.016504515,2000.0
2024-08-15 00:06:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0829360038,-0.6113393,319.673553,319.721466,318.407318,-0.4799512,318.4923,318.594727,-0.6084809,-1.34132969,318.106323,318.8305,318.841339,-0.0116044292,318.588043,319.303436,309.596252,290.34552,297.1367,60.8942032,1.9828738,4.360169,-0.00453214534,-0.04784906,0.523016751,0.6168228,0.60210526,0.45414108,0.636699259,0.6837387,0.730198741,-0.0234600268,0.6266476,0.6448274,0.562247,-0.00883681,0.630412459,0.879229,0.230034724,0.0,0.0,0.0,0.0,0.0,400.721741,0.0,400.139221,0.0,399.139221,0.0,0.0,0.0,400.860779,0.0,400.860779,30.4199219,31.7439442,31.5526218,56.97661,57.0931549,57.1579,30.2195587,57.0569267,55.4149551,30.5574055,32.11531,57.0411148,57.01183,57.1314659,34.3246155,57.0985947,57.01233,0.182295024,2000.0
2024-08-15 00:07:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0851734057,-0.573680162,320.561157,320.47467,318.8194,-0.475933015,319.490784,319.242584,-0.562877655,-1.36424983,318.966064,319.30542,319.5448,-0.0130135519,319.170929,319.6106,307.738678,289.411072,294.431366,59.7282028,19.7787781,4.374454,-0.004687121,-0.0472531,0.9918383,0.988627553,0.944772363,0.453722179,0.9667455,0.9617722,0.7295735,-0.0243939664,0.944998562,0.945495069,0.956255436,-0.009926373,0.94395864,0.9377193,1.06336808,0.0,0.0,0.0,0.0,0.0,400.2782,0.0,399.668518,0.0,400.354828,0.0,0.0,0.0,399.4757,0.0,400.2771,30.3620586,31.7170315,31.55998,57.1712227,57.2875061,57.2885,30.2120419,57.21716,55.58729,30.56496,32.15423,57.24528,57.1723976,57.26056,34.3394661,57.229908,57.25161,1.326726,2000.0
2024-08-15 00:08:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.08741081,-0.573629141,320.772552,320.6539,318.97998,-0.471914828,319.739563,319.377838,-0.5447088,-1.3706305,319.014832,319.490753,319.6513,-0.0144226747,319.351837,319.8379,307.1666,290.641357,294.252075,60.228653,20.3009453,4.37624359,-0.004842097,-0.0467099771,1.04579616,1.0756489,1.04348469,0.453101158,1.03081667,1.03520989,0.7295137,-0.0238079783,1.029529,1.0235126,1.01813126,-0.009086339,1.03231645,1.04080331,0.9403935,0.0,0.0,0.0,0.0,0.0,400.322357,0.0,400.437683,0.0,399.813721,0.0,0.0,0.0,399.562317,0.0,400.437683,30.3131142,31.7278919,31.538435,57.08079,57.23055,57.2292824,30.2078743,57.1908531,55.50693,30.56226,32.05348,57.1457176,57.11059,57.1975555,34.3051,57.1491776,57.1845,1.33122325,2000.0
2024-08-15 00:09:00+02:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0896482,-0.552882969,351.44986,355.909821,348.8127,-0.5070122,350.783752,349.4273,-0.5537516,-1.36645734,348.784821,350.905273,351.3856,-0.0158317965,350.623962,349.757416,319.9474,300.473633,306.717621,63.8368378,20.9000549,4.915069,-0.00499707228,-0.0452634655,3.39947939,3.413935,3.39927053,0.4563481,3.39286041,3.390574,0.73164624,-0.0210824851,3.44242835,3.39142179,3.371147,-0.00606292,3.3988328,3.36330628,1.78964126,0.0,0.0,0.0,0.0,0.0,1315.99451,0.0,1316.80017,0.0,1316.99451,0.0,0.0,0.0,1314.82874,0.0,1315.80017,30.3569889,31.7224636,31.5455532,57.2560844,57.36811,57.3809242,30.2248669,57.340416,55.67787,30.5724983,32.013092,57.3056946,57.28006,57.38299,34.31754,57.345356,57.3247032,3.94767213,2000.0
