# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.000000,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.001001,0.017747,1.928993,1.928993,0.762361,0.762361,1000.000000,1000.000000
0.002002,0.017693,1.929199,1.929199,0.762279,0.762279,1000.000000,1000.000000
0.003003,0.017640,1.929406,1.929406,0.762197,0.762197,1000.000000,1000.000000
0.004004,0.017587,1.929614,1.929614,0.762115,0.762115,1000.000000,1000.000000
0.005005,0.017535,1.929822,1.929822,0.762033,0.762033,1000.000000,1000.000000
0.006006,0.017482,1.930030,1.930030,0.761951,0.761951,1000.000000,1000.000000
0.007007,0.017430,1.930240,1.930240,0.761868,0.761868,1000.000000,1000.000000
0.008008,0.017377,1.930449,1.930449,0.761785,0.761785,1000.000000,1000.000000
0.009009,0.017325,1.930660,1.930660,0.761702,0.761702,1000.000000,1000.000000
0.010010,0.017273,1.930871,1.930871,0.761619,0.761619,1000.000000,1000.000000
0.011011,0.017222,1.931083,1.931083,0.761536,0.761536,1000.000000,1000.000000
0.012012,0.017170,1.931295,1.931295,0.761452,0.761452,1000.000000,1000.000000
0.013013,0.017118,1.931508,1.931508,0.761368,0.761368,1000.000000,1000.000000
0.014014,0.017067,1.931721,1.931721,0.761284,0.761284,1000.000000,1000.000000
0.015015,0.017016,1.931935,1.931935,0.761200,0.761200,1000.000000,1000.000000
0.016016,0.016965,1.932150,1.932150,0.761115,0.761115,1000.000000,1000.000000
0.017017,0.016914,1.932365,1.932365,0.761030,0.761030,1000.000000,1000.000000
0.018018,0.016863,1.932581,1.932581,0.760945,0.760945,1000.000000,1000.000000
0.019019,0.016813,1.932797,1.932797,0.760860,0.760860,1000.000000,1000.000000
0.020020,0.016762,1.933014,1.933014,0.760775,0.760775,1000.000000,1000.000000
0.021021,0.016712,1.933232,1.933232,0.760689,0.760689,1000.000000,1000.000000
0.022022,0.016662,1.933450,1.933450,0.760603,0.760603,1000.000000,1000.000000
0.023023,0.016612,1.933669,1.933669,0.760517,0.760517,1000.000000,1000.000000
