# Time (hours),Membrane Thickness (cm),Voltage (V),Current Density (A/cm2),Power (W),CHO (mol/m3),CH2O2 (mol/m3),FRR (g/cm2/h)
0,0.0178,1.92879,0.762442,1000,8.79651e-12,1.12392e+06,6.93945e-08
0.001001,0.0177661,1.92893,0.762442,1000.07,8.79651e-12,1.12392e+06,6.93945e-08
0.002002,0.0177323,1.92906,0.76239,1000.07,8.79652e-12,1.12398e+06,6.92624e-08
0.003003,0.0176985,1.92919,0.762339,1000.07,8.79652e-12,1.12405e+06,6.91306e-08
0.004004,0.0176648,1.92932,0.762287,1000.07,8.79653e-12,1.12411e+06,6.89991e-08
0.00500501,0.0176312,1.92946,0.762235,1000.08,8.79653e-12,1.12418e+06,6.88678e-08
0.00600601,0.0175977,1.92959,0.762183,1000.08,8.79654e-12,1.12425e+06,6.87367e-08
0.00700701,0.0175642,1.92972,0.762131,1000.08,8.79654e-12,1.12432e+06,6.86059e-08
0.00800801,0.0175307,1.92985,0.762079,1000.08,8.79655e-12,1.12438e+06,6.84753e-08
0.00900901,0.0174973,1.92998,0.762027,1000.08,8.79655e-12,1.12445e+06,6.8345e-08
0.01001,0.017464,1.93012,0.761975,1000.08,8.79656e-12,1.12452e+06,6.8215e-08
0.011011,0.0174308,1.93025,0.761922,1000.08,8.79656e-12,1.12458e+06,6.80851e-08
0.012012,0.0173976,1.93038,0.76187,1000.08,8.79657e-12,1.12465e+06,6.79556e-08
0.013013,0.0173645,1.93052,0.761817,1000.08,8.79658e-12,1.12472e+06,6.78263e-08
0.014014,0.0173314,1.93065,0.761765,1000.08,8.79658e-12,1.12479e+06,6.76972e-08
0.015015,0.0172984,1.93078,0.761712,1000.08,8.79659e-12,1.12486e+06,6.75684e-08
0.016016,0.0172655,1.93092,0.761659,1000.08,8.79659e-12,1.12492e+06,6.74398e-08
0.017017,0.0172326,1.93105,0.761606,1000.08,8.7966e-12,1.12499e+06,6.73114e-08
0.018018,0.0171998,1.93119,0.761553,1000.08,8.7966e-12,1.12506e+06,6.71833e-08
0.019019,0.0171671,1.93132,0.7615,1000.08,8.79661e-12,1.12513e+06,6.70555e-08
0.02002,0.0171344,1.93146,0.761447,1000.08,8.79661e-12,1.1252e+06,6.69279e-08
0.021021,0.0171018,1.93159,0.761394,1000.08,8.79662e-12,1.12527e+06,6.68005e-08
0.022022,0.0170692,1.93173,0.761341,1000.08,8.79663e-12,1.12533e+06,6.66734e-08
0.023023,0.0170367,1.93186,0.761287,1000.08,8.79663e-12,1.1254e+06,6.65465e-08
0.024024,0.0170043,1.932,0.761234,1000.08,8.79664e-12,1.12547e+06,6.64199e-08
0.025025,0.0169719,1.93213,0.76118,1000.08,8.79664e-12,1.12554e+06,6.62935e-08
0.026026,0.0169396,1.93227,0.761127,1000.08,8.79665e-12,1.12561e+06,6.61673e-08
0.027027,0.0169074,1.93241,0.761073,1000.08,8.79665e-12,1.12568e+06,6.60414e-08
0.028028,0.0168752,1.93254,0.761019,1000.08,8.79666e-12,1.12575e+06,6.59157e-08
0.029029,0.0168431,1.93268,0.760965,1000.08,8.79667e-12,1.12582e+06,6.57903e-08
0.03003,0.016811,1.93282,0.760911,1000.08,8.79667e-12,1.12589e+06,6.56651e-08
0.031031,0.016779,1.93296,0.760857,1000.08,8.79668e-12,1.12596e+06,6.55401e-08
0.032032,0.0167471,1.93309,0.760803,1000.08,8.79668e-12,1.12603e+06,6.54154e-08
0.033033,0.0167152,1.93323,0.760749,1000.08,8.79669e-12,1.1261e+06,6.52909e-08
0.034034,0.0166834,1.93337,0.760694,1000.08,8.79669e-12,1.12617e+06,6.51666e-08
0.035035,0.0166516,1.93351,0.76064,1000.08,8.7967e-12,1.12624e+06,6.50426e-08
0.036036,0.0166199,1.93365,0.760585,1000.08,8.7967e-12,1.12631e+06,6.49188e-08
0.037037,0.0165883,1.93379,0.760531,1000.08,8.79671e-12,1.12638e+06,6.47953e-08
0.038038,0.0165567,1.93393,0.760476,1000.08,8.79672e-12,1.12645e+06,6.4672e-08
0.039039,0.0165252,1.93407,0.760421,1000.08,8.79672e-12,1.12652e+06,6.45489e-08
0.04004,0.0164937,1.93421,0.760366,1000.08,8.79673e-12,1.12659e+06,6.44261e-08
0.041041,0.0164623,1.93435,0.760311,1000.08,8.79673e-12,1.12667e+06,6.43035e-08
0.042042,0.016431,1.93449,0.760256,1000.08,8.79674e-12,1.12674e+06,6.41811e-08
0.043043,0.0163997,1.93463,0.760201,1000.08,8.79675e-12,1.12681e+06,6.4059e-08
0.044044,0.0163685,1.93477,0.760146,1000.08,8.79675e-12,1.12688e+06,6.39371e-08
0.045045,0.0163373,1.93491,0.76009,1000.08,8.79676e-12,1.12695e+06,6.38154e-08
0.046046,0.0163062,1.93505,0.760035,1000.08,8.79676e-12,1.12702e+06,6.36939e-08
0.047047,0.0162752,1.93519,0.75998,1000.08,8.79677e-12,1.1271e+06,6.35727e-08
0.048048,0.0162442,1.93534,0.759924,1000.08,8.79677e-12,1.12717e+06,6.34517e-08
0.049049,0.0162133,1.93548,0.759868,1000.08,8.79678e-12,1.12724e+06,6.3331e-08
0.0500501,0.0161824,1.93562,0.759812,1000.08,8.79679e-12,1.12731e+06,6.32105e-08
0.0510511,0.0161516,1.93576,0.759757,1000.08,8.79679e-12,1.12738e+06,6.30902e-08
0.0520521,0.0161208,1.93591,0.759701,1000.08,8.7968e-12,1.12746e+06,6.29701e-08
