# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.000000,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.001001,0.017790,1.928825,1.928825,0.762427,0.762427,1000.000000,1000.000000
0.002002,0.017780,1.928864,1.928864,0.762412,0.762412,1000.000000,1000.000000
0.003003,0.017770,1.928903,1.928903,0.762396,0.762396,1000.000000,1000.000000
0.004004,0.017760,1.928941,1.928941,0.762381,0.762381,1000.000000,1000.000000
0.005005,0.017750,1.928980,1.928980,0.762366,0.762366,1000.000000,1000.000000
0.006006,0.017740,1.929019,1.929019,0.762350,0.762350,1000.000000,1000.000000
0.007007,0.017730,1.929057,1.929057,0.762335,0.762335,1000.000000,1000.000000
0.008008,0.017720,1.929096,1.929096,0.762320,0.762320,1000.000000,1000.000000
0.009009,0.017710,1.929135,1.929135,0.762304,0.762304,1000.000000,1000.000000
0.010010,0.017700,1.929174,1.929174,0.762289,0.762289,1000.000000,1000.000000
0.011011,0.017690,1.929213,1.929213,0.762274,0.762274,1000.000000,1000.000000
0.012012,0.017680,1.929252,1.929252,0.762258,0.762258,1000.000000,1000.000000
0.013013,0.017670,1.929291,1.929291,0.762243,0.762243,1000.000000,1000.000000
0.014014,0.017660,1.929330,1.929330,0.762227,0.762227,1000.000000,1000.000000
0.015015,0.017650,1.929369,1.929369,0.762212,0.762212,1000.000000,1000.000000
0.016016,0.017640,1.929408,1.929408,0.762197,0.762197,1000.000000,1000.000000
0.017017,0.017630,1.929447,1.929447,0.762181,0.762181,1000.000000,1000.000000
0.018018,0.017620,1.929486,1.929486,0.762166,0.762166,1000.000000,1000.000000
0.019019,0.017610,1.929526,1.929526,0.762150,0.762150,1000.000000,1000.000000
0.020020,0.017600,1.929565,1.929565,0.762135,0.762135,1000.000000,1000.000000
0.021021,0.017590,1.929604,1.929604,0.762119,0.762119,1000.000000,1000.000000
0.022022,0.017580,1.929644,1.929644,0.762103,0.762103,1000.000000,1000.000000
0.023023,0.017570,1.929683,1.929683,0.762088,0.762088,1000.000000,1000.000000
0.024024,0.017560,1.929723,1.929723,0.762072,0.762072,1000.000000,1000.000000
0.025025,0.017550,1.929762,1.929762,0.762057,0.762057,1000.000000,1000.000000
0.026026,0.017540,1.929802,1.929802,0.762041,0.762041,1000.000000,1000.000000
0.027027,0.017530,1.929841,1.929841,0.762025,0.762025,1000.000000,1000.000000
0.028028,0.017520,1.929881,1.929881,0.762010,0.762010,1000.000000,1000.000000
0.029029,0.017510,1.929921,1.929921,0.761994,0.761994,1000.000000,1000.000000
0.030030,0.017500,1.929961,1.929961,0.761978,0.761978,1000.000000,1000.000000
0.031031,0.017490,1.930000,1.930000,0.761963,0.761963,1000.000000,1000.000000
0.032032,0.017480,1.930040,1.930040,0.761947,0.761947,1000.000000,1000.000000
0.033033,0.017470,1.930080,1.930080,0.761931,0.761931,1000.000000,1000.000000
0.034034,0.017460,1.930120,1.930120,0.761915,0.761915,1000.000000,1000.000000
0.035035,0.017450,1.930160,1.930160,0.761900,0.761900,1000.000000,1000.000000
0.036036,0.017440,1.930200,1.930200,0.761884,0.761884,1000.000000,1000.000000
0.037037,0.017430,1.930240,1.930240,0.761868,0.761868,1000.000000,1000.000000
0.038038,0.017420,1.930280,1.930280,0.761852,0.761852,1000.000000,1000.000000
0.039039,0.017410,1.930320,1.930320,0.761836,0.761836,1000.000000,1000.000000
0.040040,0.017400,1.930360,1.930360,0.761821,0.761821,1000.000000,1000.000000
0.041041,0.017390,1.930401,1.930401,0.761805,0.761805,1000.000000,1000.000000
0.042042,0.017380,1.930441,1.930441,0.761789,0.761789,1000.000000,1000.000000
0.043043,0.017370,1.930481,1.930481,0.761773,0.761773,1000.000000,1000.000000
0.044044,0.017360,1.930522,1.930522,0.761757,0.761757,1000.000000,1000.000000
0.045045,0.017350,1.930562,1.930562,0.761741,0.761741,1000.000000,1000.000000
0.046046,0.017340,1.930603,1.930603,0.761725,0.761725,1000.000000,1000.000000
0.047047,0.017330,1.930643,1.930643,0.761709,0.761709,1000.000000,1000.000000
0.048048,0.017320,1.930684,1.930684,0.761693,0.761693,1000.000000,1000.000000
0.049049,0.017310,1.930724,1.930724,0.761677,0.761677,1000.000000,1000.000000
0.050050,0.017299,1.930765,1.930765,0.761661,0.761661,1000.000000,1000.000000
0.051051,0.017289,1.930806,1.930806,0.761645,0.761645,1000.000000,1000.000000
0.052052,0.017279,1.930846,1.930846,0.761629,0.761629,1000.000000,1000.000000
0.053053,0.017269,1.930887,1.930887,0.761613,0.761613,1000.000000,1000.000000
0.054054,0.017259,1.930928,1.930928,0.761597,0.761597,1000.000000,1000.000000
0.055055,0.017249,1.930969,1.930969,0.761581,0.761581,1000.000000,1000.000000
0.056056,0.017239,1.931010,1.931010,0.761564,0.761564,1000.000000,1000.000000
0.057057,0.017229,1.931051,1.931051,0.761548,0.761548,1000.000000,1000.000000
0.058058,0.017219,1.931092,1.931092,0.761532,0.761532,1000.000000,1000.000000
0.059059,0.017209,1.931133,1.931133,0.761516,0.761516,1000.000000,1000.000000
0.060060,0.017199,1.931174,1.931174,0.761500,0.761500,1000.000000,1000.000000
0.061061,0.017189,1.931215,1.931215,0.761483,0.761483,1000.000000,1000.000000
0.062062,0.017179,1.931256,1.931256,0.761467,0.761467,1000.000000,1000.000000
0.063063,0.017169,1.931297,1.931297,0.761451,0.761451,1000.000000,1000.000000
0.064064,0.017159,1.931339,1.931339,0.761435,0.761435,1000.000000,1000.000000
0.065065,0.017149,1.931380,1.931380,0.761418,0.761418,1000.000000,1000.000000
0.066066,0.017139,1.931421,1.931421,0.761402,0.761402,1000.000000,1000.000000
