# Time (hours),Membrane Thickness (cm),Voltage (V),Voltage Check(V),Current Density (A/cm^2),Current Density Check(A/cm^2),Power (W),Power Check(W)
0.000000,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.001001,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.002002,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.003003,0.017800,1.928787,1.928787,0.762442,0.762442,1000.000000,1000.000000
0.004004,0.017800,1.928788,1.928788,0.762442,0.762442,1000.000000,1000.000000
0.005005,0.017800,1.928788,1.928788,0.762442,0.762442,1000.000000,1000.000000
0.006006,0.017800,1.928788,1.928788,0.762441,0.762441,1000.000000,1000.000000
0.007007,0.017800,1.928789,1.928789,0.762441,0.762441,1000.000000,1000.000000
0.008008,0.017799,1.928789,1.928789,0.762441,0.762441,1000.000000,1000.000000
0.009009,0.017799,1.928790,1.928790,0.762441,0.762441,1000.000000,1000.000000
0.010010,0.017799,1.928791,1.928791,0.762440,0.762440,1000.000000,1000.000000
0.011011,0.017799,1.928792,1.928792,0.762440,0.762440,1000.000000,1000.000000
0.012012,0.017799,1.928793,1.928793,0.762440,0.762440,1000.000000,1000.000000
0.013013,0.017798,1.928793,1.928793,0.762439,0.762439,1000.000000,1000.000000
0.014014,0.017798,1.928795,1.928795,0.762439,0.762439,1000.000000,1000.000000
0.015015,0.017798,1.928796,1.928796,0.762439,0.762439,1000.000000,1000.000000
0.016016,0.017797,1.928797,1.928797,0.762438,0.762438,1000.000000,1000.000000
0.017017,0.017797,1.928798,1.928798,0.762438,0.762438,1000.000000,1000.000000
0.018018,0.017797,1.928799,1.928799,0.762437,0.762437,1000.000000,1000.000000
0.019019,0.017796,1.928801,1.928801,0.762437,0.762437,1000.000000,1000.000000
0.020020,0.017796,1.928802,1.928802,0.762436,0.762436,1000.000000,1000.000000
0.021021,0.017796,1.928804,1.928804,0.762435,0.762435,1000.000000,1000.000000
0.022022,0.017795,1.928806,1.928806,0.762435,0.762435,1000.000000,1000.000000
0.023023,0.017795,1.928807,1.928807,0.762434,0.762434,1000.000000,1000.000000
0.024024,0.017794,1.928809,1.928809,0.762433,0.762433,1000.000000,1000.000000
0.025025,0.017794,1.928811,1.928811,0.762432,0.762432,1000.000000,1000.000000
0.026026,0.017793,1.928813,1.928813,0.762432,0.762432,1000.000000,1000.000000
0.027027,0.017793,1.928815,1.928815,0.762431,0.762431,1000.000000,1000.000000
0.028028,0.017792,1.928817,1.928817,0.762430,0.762430,1000.000000,1000.000000
0.029029,0.017792,1.928819,1.928819,0.762429,0.762429,1000.000000,1000.000000
0.030030,0.017791,1.928822,1.928822,0.762428,0.762428,1000.000000,1000.000000
0.031031,0.017790,1.928824,1.928824,0.762427,0.762427,1000.000000,1000.000000
0.032032,0.017790,1.928826,1.928826,0.762426,0.762426,1000.000000,1000.000000
0.033033,0.017789,1.928829,1.928829,0.762425,0.762425,1000.000000,1000.000000
0.034034,0.017788,1.928832,1.928832,0.762424,0.762424,1000.000000,1000.000000
0.035035,0.017788,1.928834,1.928834,0.762423,0.762423,1000.000000,1000.000000
0.036036,0.017787,1.928837,1.928837,0.762422,0.762422,1000.000000,1000.000000
0.037037,0.017786,1.928840,1.928840,0.762421,0.762421,1000.000000,1000.000000
0.038038,0.017786,1.928843,1.928843,0.762420,0.762420,1000.000000,1000.000000
0.039039,0.017785,1.928846,1.928846,0.762419,0.762419,1000.000000,1000.000000
0.040040,0.017784,1.928849,1.928849,0.762418,0.762418,1000.000000,1000.000000
0.041041,0.017783,1.928852,1.928852,0.762416,0.762416,1000.000000,1000.000000
0.042042,0.017782,1.928855,1.928855,0.762415,0.762415,1000.000000,1000.000000
0.043043,0.017781,1.928858,1.928858,0.762414,0.762414,1000.000000,1000.000000
0.044044,0.017781,1.928862,1.928862,0.762413,0.762413,1000.000000,1000.000000
0.045045,0.017780,1.928865,1.928865,0.762411,0.762411,1000.000000,1000.000000
0.046046,0.017779,1.928869,1.928869,0.762410,0.762410,1000.000000,1000.000000
0.047047,0.017778,1.928872,1.928872,0.762408,0.762408,1000.000000,1000.000000
0.048048,0.017777,1.928876,1.928876,0.762407,0.762407,1000.000000,1000.000000
0.049049,0.017776,1.928880,1.928880,0.762405,0.762405,1000.000000,1000.000000
